student_id,support
1,1
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,1
200,0
