student_id,reading,writing
1,61,56
2,52,61
3,70,65
4,45,46
5,69,71
6,73,67
7,72,53
8,88,82
9,76,77
10,82,69
11,51,44
12,71,57
13,72,70
14,77,79
15,74,69
16,65,78
17,71,59
18,62,48
19,72,53
20,80,80
21,57,55
22,69,63
23,86,79
24,67,73
25,70,52
26,64,57
27,71,74
28,50,54
29,77,72
30,58,63
31,72,68
32,84,72
33,51,58
34,62,68
35,65,56
36,55,65
37,60,70
38,92,99
39,66,61
40,74,54
41,67,67
42,52,43
43,77,71
44,54,53
45,70,72
46,61,66
47,75,70
48,77,62
49,62,60
50,67,62
51,84,79
52,73,64
53,66,67
54,44,40
55,63,60
56,88,87
57,55,72
58,67,67
59,71,59
60,50,52
61,61,50
62,56,40
63,50,64
64,80,73
65,67,60
66,83,82
67,76,78
68,70,80
69,76,71
70,62,48
71,58,65
72,83,84
73,60,63
74,86,73
75,59,58
76,62,61
77,73,72
78,66,57
79,43,42
80,76,80
81,73,78
82,57,45
83,53,53
84,49,60
85,72,63
86,79,71
87,65,65
88,59,63
89,60,69
90,57,77
91,63,52
92,76,78
93,65,69
94,61,57
95,82,68
96,67,72
97,69,55
98,62,62
99,75,75
100,70,58
101,60,61
102,49,54
103,85,76
104,58,59
105,44,72
106,55,60
107,52,54
108,66,70
109,76,72
110,71,69
111,48,27
112,65,48
113,67,73
114,70,58
115,71,75
116,73,73
117,68,60
118,39,39
119,88,89
120,70,75
121,75,72
122,57,60
123,81,77
124,74,66
125,44,43
126,76,82
127,38,41
128,85,80
129,55,45
130,58,61
131,77,74
132,100,99
133,74,61
134,54,37
135,70,69
136,56,40
137,53,49
138,75,77
139,66,58
140,67,61
141,62,64
142,54,38
143,51,29
144,65,67
145,66,57
146,70,64
147,69,74
148,65,56
149,55,53
150,54,55
151,78,71
152,55,56
153,66,64
154,54,45
155,61,55
156,64,70
157,53,56
158,51,47
159,60,53
160,63,58
161,62,64
162,66,81
163,83,71
164,50,52
165,56,58
166,70,60
167,68,59
168,56,50
169,77,72
170,64,56
171,74,74
172,65,58
173,70,70
174,88,75
175,75,71
176,56,65
177,57,52
178,71,59
179,67,62
180,66,56
181,54,63
182,65,66
183,60,53
184,63,60
185,68,59
186,64,65
187,46,49
188,45,33
189,55,53
190,45,33
191,78,71
192,92,87
193,74,73
194,54,66
195,58,49
196,74,76
197,73,87
198,55,47
199,79,90
200,62,69
