group,score
Group A,83.72
Group A,114.96
Group A,104.24
Group A,77.41
Group A,91.32
Group A,124.77
Group A,63.6
Group A,93.57
Group A,118.99
Group A,87.0
Group A,89.82
Group A,98.58
Group A,122.37
Group A,90.42
Group A,93.34
Group A,93.48
Group A,133.09
Group A,132.8
Group A,115.06
Group A,105.79
Group A,111.06
Group A,122.36
Group A,85.96
Group A,117.64
Group A,81.19
Group A,90.43
Group A,113.61
Group A,78.57
Group A,97.9
Group A,87.07
Group A,96.17
Group A,58.02
Group A,73.43
Group A,89.5
Group A,113.91
Group A,97.4
Group A,100.04
Group A,110.32
Group A,86.81
Group A,104.25
Group A,87.92
Group A,74.08
Group A,94.14
Group A,108.61
Group A,105.08
Group A,99.82
Group A,135.89
Group A,106.19
Group A,114.68
Group A,133.57
Group A,80.59
Group A,84.42
Group A,126.16
Group A,88.03
Group A,100.45
Group A,116.04
Group A,113.36
Group A,126.32
Group A,122.43
Group A,116.04
Group A,88.41
Group A,111.92
Group A,104.71
Group A,80.11
Group A,121.26
Group A,112.11
Group A,100.68
Group A,96.5
Group A,82.03
Group A,102.99
Group A,107.03
Group A,87.53
Group A,117.43
Group A,83.54
Group A,68.15
Group A,115.6
Group A,93.95
Group A,98.11
Group A,87.44
Group A,75.91
Group A,118.83
Group A,89.67
Group A,124.91
Group A,112.11
Group A,95.28
Group A,83.71
Group A,89.01
Group A,81.81
Group A,131.31
Group A,102.47
Group A,117.25
Group A,80.99
Group A,102.72
Group A,117.67
Group A,94.97
Group A,115.47
Group A,83.73
Group A,79.55
Group A,105.69
Group A,94.31
Group A,109.63
Group A,70.33
Group A,110.68
Group A,138.97
Group A,99.63
Group A,100.51
Group A,102.69
Group A,72.07
Group A,106.39
Group A,75.92
Group A,93.58
Group A,118.64
Group A,88.97
Group A,107.52
Group A,115.19
Group A,104.18
Group A,79.44
Group A,95.01
Group A,129.39
Group A,69.62
Group A,95.86
Group A,91.72
Group A,101.81
Group A,111.22
Group A,124.13
Group A,95.95
Group A,112.19
Group A,107.5
Group A,107.12
Group A,91.54
Group A,85.04
Group A,83.5
Group A,88.65
Group A,104.83
Group A,111.41
Group A,104.85
Group A,91.77
Group A,127.09
Group A,122.78
Group A,94.69
Group A,87.65
Group A,101.95
Group A,119.01
Group A,104.99
Group A,108.35
Group A,96.82
Group A,106.84
Group A,123.17
Group A,96.4
Group A,102.15
Group A,103.81
Group A,104.26
Group A,78.82
Group A,71.85
Group A,84.71
Group A,102.52
Group A,108.31
Group A,92.04
Group A,120.66
Group A,97.85
Group A,100.3
Group A,97.09
Group A,102.01
Group A,110.57
Group A,109.98
Group A,86.52
Group A,122.85
Group A,83.57
Group A,101.19
Group A,95.88
Group A,84.27
Group A,98.87
Group A,88.89
Group A,101.09
Group A,106.05
Group A,122.08
Group A,104.61
Group A,90.83
Group A,94.13
Group A,102.1
Group A,101.4
Group A,121.89
Group A,120.93
Group A,94.62
Group A,91.77
Group A,61.64
Group A,91.77
Group A,85.33
Group A,94.68
Group A,105.87
Group A,102.66
Group A,99.55
Group A,102.99
Group A,98.11
Group A,102.96
Group A,51.53
Group A,95.96
Group A,98.34
Group A,94.88
Group A,96.73
Group A,110.55
Group A,91.03
Group A,133.01
Group A,110.32
Group A,99.91
Group A,96.9
Group A,98.7
Group A,86.27
Group A,98.57
Group A,104.18
Group A,108.69
Group A,108.7
Group A,95.88
Group A,78.76
Group A,89.96
Group A,124.18
Group A,113.44
Group A,105.54
Group A,88.58
Group A,100.05
Group A,81.16
Group A,91.72
Group A,96.32
Group A,94.58
Group A,114.35
Group A,78.72
Group A,87.02
Group A,79.38
Group A,81.44
Group A,101.86
Group A,75.99
Group A,111.31
Group A,96.3
Group A,101.03
Group A,104.84
Group A,93.49
Group A,115.49
Group A,97.08
Group A,108.91
Group A,97.01
Group A,104.36
Group A,104.19
Group A,103.75
Group A,85.39
Group A,106.54
Group A,95.22
Group A,109.46
Group A,67.71
Group A,78.02
Group A,105.45
Group A,127.94
Group A,112.53
Group A,89.76
Group A,74.62
Group A,111.14
Group A,98.79
Group A,108.86
Group A,101.73
Group A,100.44
Group A,144.38
Group A,99.91
Group A,97.61
Group A,98.18
Group A,91.25
Group A,114.85
Group A,94.69
Group A,109.54
Group A,104.27
Group A,118.28
Group A,106.3
Group A,81.8
Group A,80.1
Group A,121.13
Group A,90.87
Group A,80.19
Group A,89.96
Group A,118.97
Group A,78.7
Group A,87.0
Group A,90.0
Group A,81.23
Group A,82.24
Group A,77.23
Group A,93.08
Group A,94.68
Group A,89.76
Group A,75.19
Group A,118.8
Group A,80.06
Group A,104.17
Group A,83.88
Group A,110.02
Group A,114.34
Group A,86.84
Group A,71.14
Group A,110.44
Group A,128.14
Group A,106.24
Group A,102.41
Group A,112.3
Group A,111.48
Group A,87.57
Group A,90.11
Group A,109.17
Group A,97.84
Group A,119.75
Group A,89.43
Group A,111.26
Group A,105.14
Group A,98.1
Group A,117.64
Group A,110.2
Group A,84.93
Group A,109.6
Group A,120.62
Group A,98.04
Group A,96.27
Group A,89.96
Group A,99.8
Group A,110.29
Group A,87.73
Group A,79.8
Group A,94.36
Group A,79.3
Group A,107.85
Group A,93.6
Group A,73.67
Group A,94.77
Group A,97.11
Group A,106.74
Group A,97.82
Group A,128.03
Group A,92.22
Group A,99.06
Group A,98.46
Group A,95.76
Group A,102.14
Group A,108.12
Group A,120.1
Group A,76.46
Group A,92.34
Group A,93.28
Group A,114.07
Group A,94.65
Group A,71.57
Group A,101.32
Group A,99.49
Group A,102.7
Group A,84.4
Group A,125.79
Group A,95.14
Group A,97.18
Group A,86.5
Group A,86.03
Group A,81.66
Group A,94.1
Group A,85.64
Group A,130.85
Group A,71.67
Group A,83.08
Group A,93.98
Group A,110.1
Group A,93.79
Group A,110.14
Group A,85.2
Group A,100.89
Group A,126.16
Group A,85.48
Group A,106.29
Group A,103.1
Group A,66.23
Group A,91.17
Group A,116.97
Group A,102.03
Group A,81.82
Group A,110.36
Group A,92.81
Group A,105.4
Group A,105.65
Group A,83.22
Group A,111.85
Group A,84.89
Group A,80.41
Group A,86.76
Group A,94.81
Group A,101.64
Group A,88.41
Group A,111.17
Group A,103.77
Group A,89.58
Group A,113.33
Group A,117.42
Group A,98.52
Group A,96.78
Group A,73.39
Group A,93.89
Group A,95.63
Group A,103.68
Group A,97.47
Group A,103.66
Group A,123.01
Group A,92.05
Group A,92.64
Group A,80.36
Group A,99.87
Group A,114.65
Group A,73.73
Group A,90.01
Group A,100.54
Group A,112.75
Group A,105.74
Group A,104.88
Group A,96.64
Group A,107.23
Group A,115.21
Group A,74.37
Group A,110.93
Group A,98.52
Group A,92.05
Group A,63.35
Group A,79.29
Group A,125.47
Group A,89.67
Group A,83.73
Group A,93.15
Group A,88.82
Group A,101.87
Group A,122.75
Group A,91.2
Group A,102.31
Group A,82.79
Group A,122.8
Group A,102.84
Group A,83.77
Group A,113.56
Group A,118.0
Group A,102.42
Group A,75.41
Group A,126.78
Group A,104.65
Group A,117.56
Group A,91.74
Group A,94.02
Group A,101.66
Group A,116.7
Group A,102.14
Group A,81.15
Group A,103.93
Group A,124.44
Group A,100.99
Group A,101.94
Group A,81.06
Group A,78.96
Group A,90.43
Group A,95.1
Group A,101.56
Group A,102.49
Group A,124.03
Group A,100.88
Group A,115.97
Group A,99.41
Group A,121.73
Group A,71.94
Group A,91.02
Group A,114.75
Group A,97.43
Group A,113.97
Group A,105.78
Group A,114.19
Group A,109.2
Group A,110.1
Group A,122.39
Group A,114.8
Group A,114.91
Group A,100.31
Group A,91.27
Group A,90.11
Group A,111.26
Group A,63.42
Group A,80.39
Group A,85.55
Group A,96.29
Group A,60.53
Group A,118.88
Group A,109.0
Group A,129.77
Group A,115.93
Group A,115.46
Group A,133.76
Group A,91.44
Group A,77.45
Group A,96.51
Group A,87.63
Group A,96.15
Group A,84.25
Group A,108.52
Group A,107.69
Group A,99.6
Group A,104.67
Group A,97.87
Group A,111.28
Group A,101.04
Group A,96.02
Group A,113.94
Group A,118.91
Group A,120.06
Group A,85.15
Group A,91.98
Group A,74.48
Group A,96.42
Group A,106.24
Group A,98.01
Group A,128.96
Group A,93.91
Group A,83.67
Group A,108.53
Group A,102.25
Group A,108.24
Group A,104.56
Group A,103.66
Group A,68.17
Group A,89.11
Group A,91.15
Group A,94.78
Group A,93.27
Group A,106.19
Group A,109.01
Group A,83.03
Group A,110.3
Group A,108.79
Group A,106.99
Group A,78.73
Group A,106.61
Group A,101.24
Group A,114.41
Group A,126.77
Group A,123.82
Group A,101.69
Group A,99.97
Group A,109.48
Group A,83.27
Group A,78.24
Group A,92.91
Group A,118.31
Group A,95.03
Group A,122.54
Group A,58.18
Group A,76.19
Group A,98.14
Group A,113.32
Group A,98.96
Group A,98.57
Group A,98.17
Group A,73.56
Group A,117.37
Group A,89.76
Group A,116.34
Group A,98.94
Group A,116.02
Group A,105.15
Group A,98.4
Group A,103.39
Group A,77.91
Group A,100.09
Group A,125.74
Group A,119.62
Group A,85.22
Group A,107.59
Group A,103.72
Group A,112.26
Group A,101.41
Group A,96.5
Group A,119.96
Group A,103.25
Group A,118.83
Group A,114.62
Group A,95.13
Group A,97.49
Group A,128.95
Group A,102.87
Group A,88.62
Group A,82.0
Group A,114.61
Group A,102.4
Group A,88.12
Group A,110.12
Group A,102.4
Group A,75.09
Group A,108.83
Group A,120.0
Group A,138.4
Group A,100.52
Group A,103.49
Group A,124.1
Group A,102.53
Group A,104.13
Group A,90.54
Group A,79.08
Group A,113.69
Group A,80.9
Group A,117.11
Group A,88.18
Group A,103.98
Group A,94.42
Group A,117.62
Group A,104.51
Group A,129.39
Group A,83.74
Group A,106.21
Group A,100.71
Group A,104.2
Group A,123.94
Group A,108.78
Group A,82.79
Group A,108.0
Group A,93.77
Group A,92.9
Group A,115.69
Group A,90.96
Group A,94.3
Group A,100.49
Group A,114.19
Group A,108.72
Group A,96.48
Group A,95.92
Group A,82.6
Group A,88.6
Group A,90.18
Group A,97.76
Group A,129.8
Group A,89.87
Group A,95.56
Group A,69.21
Group A,109.01
Group A,76.34
Group A,86.4
Group A,115.64
Group A,68.43
Group A,101.44
Group A,112.01
Group A,122.88
Group A,86.2
Group A,90.64
Group A,127.07
Group A,99.62
Group A,88.96
Group A,89.24
Group A,85.41
Group A,93.4
Group A,116.32
Group A,113.32
Group A,82.39
Group A,103.22
Group A,93.97
Group A,111.74
Group A,97.65
Group A,105.57
Group A,97.62
Group A,67.19
Group A,100.71
Group A,80.92
Group A,111.21
Group A,89.8
Group A,90.92
Group A,99.87
Group A,108.67
Group A,97.45
Group A,124.63
Group A,124.73
Group A,125.73
Group A,96.49
Group A,77.77
Group A,118.3
Group A,93.75
Group A,100.57
Group A,109.42
Group A,75.93
Group A,124.44
Group A,113.12
Group A,105.28
Group A,113.36
Group A,108.35
Group A,101.75
Group A,95.38
Group A,88.91
Group A,104.31
Group A,105.42
Group A,116.25
Group A,103.01
Group A,87.2
Group A,76.36
Group A,98.09
Group A,99.59
Group A,98.53
Group A,77.04
Group A,116.12
Group A,116.09
Group A,87.65
Group A,112.09
Group A,114.29
Group A,100.58
Group A,85.77
Group A,124.2
Group A,105.71
Group A,96.23
Group A,111.59
Group A,124.33
Group A,92.54
Group A,110.37
Group A,129.15
Group A,83.25
Group A,91.76
Group A,91.03
Group A,97.63
Group A,96.85
Group A,104.51
Group A,87.69
Group A,90.66
Group A,104.52
Group A,102.32
Group A,113.11
Group A,106.14
Group A,111.58
Group A,82.86
Group A,94.25
Group A,127.73
Group A,105.88
Group A,111.21
Group A,104.09
Group A,106.38
Group A,96.54
Group A,153.57
Group A,94.06
Group A,99.43
Group A,63.63
Group A,116.59
Group A,91.72
Group A,99.09
Group A,92.08
Group A,97.92
Group A,95.74
Group A,99.35
Group A,99.21
Group A,97.69
Group A,97.48
Group A,119.63
Group A,113.22
Group A,113.31
Group A,89.01
Group A,118.85
Group A,116.97
Group A,91.7
Group A,122.86
Group A,89.75
Group A,72.37
Group A,116.52
Group A,98.21
Group A,114.65
Group A,88.69
Group A,81.07
Group A,118.48
Group A,78.89
Group A,76.58
Group A,71.12
Group A,58.08
Group A,84.41
Group A,67.46
Group A,99.47
Group A,66.45
Group A,83.59
Group A,134.98
Group A,105.18
Group A,100.79
Group A,75.69
Group A,96.32
Group A,100.72
Group A,75.92
Group A,101.89
Group A,117.87
Group A,94.78
Group A,97.04
Group A,69.37
Group A,79.01
Group A,115.87
Group A,90.08
Group A,86.05
Group A,89.61
Group A,99.14
Group A,82.62
Group A,101.9
Group A,79.6
Group A,111.61
Group A,84.14
Group A,119.8
Group A,99.85
Group A,87.32
Group A,113.67
Group A,79.38
Group A,91.79
Group A,100.0
Group A,98.18
Group A,69.87
Group A,86.19
Group A,102.52
Group A,80.2
Group A,119.0
Group A,107.43
Group A,92.29
Group A,96.7
Group A,127.92
Group A,114.04
Group A,105.7
Group A,78.77
Group A,124.44
Group A,115.79
Group A,97.77
Group A,91.75
Group A,97.18
Group A,81.97
Group A,92.94
Group A,111.45
Group A,72.89
Group A,95.29
Group A,101.71
Group A,101.55
Group A,82.32
Group A,82.27
Group A,116.34
Group A,81.63
Group A,115.13
Group A,92.76
Group A,116.2
Group A,93.68
Group A,82.5
Group A,112.85
Group A,99.74
Group A,121.73
Group A,113.38
Group A,96.56
Group A,93.25
Group A,100.35
Group A,102.85
Group A,86.77
Group A,112.63
Group A,94.04
Group A,93.65
Group A,91.89
Group A,103.47
Group A,89.62
Group A,102.02
Group A,141.5
Group A,99.2
Group A,93.49
Group A,74.98
Group A,100.75
Group A,83.36
Group A,94.37
Group A,102.27
Group A,74.04
Group A,102.36
Group A,104.57
Group A,80.54
Group A,94.12
Group A,72.54
Group A,123.63
Group A,104.96
Group A,97.31
Group A,97.55
Group A,116.97
Group A,98.59
Group A,104.96
Group A,122.78
Group A,94.81
Group A,83.61
Group A,87.63
Group A,121.43
Group A,101.37
Group A,92.47
Group A,114.6
Group A,114.97
Group A,92.87
Group A,85.42
Group A,76.44
Group A,73.09
Group A,96.03
Group A,86.6
Group A,127.88
Group A,100.88
Group A,70.87
Group A,121.28
Group A,102.43
Group A,110.57
Group A,110.23
Group A,104.45
Group A,107.85
Group A,103.58
Group A,83.4
Group A,105.5
Group A,115.36
Group A,96.85
Group A,108.27
Group A,106.29
Group A,127.23
Group A,96.21
Group A,95.62
Group A,98.25
Group A,98.46
Group A,65.91
Group A,90.36
Group A,104.5
Group A,99.88
Group A,88.01
Group A,90.03
Group A,94.67
Group A,87.98
Group A,92.3
Group A,91.91
Group A,113.43
Group A,115.25
Group A,114.0
Group A,106.4
Group A,89.38
Group A,114.4
Group A,95.29
Group A,100.35
Group A,120.07
Group A,101.26
Group A,103.71
Group A,78.81
Group A,107.31
Group A,85.3
Group A,115.18
Group A,97.23
Group A,66.46
Group A,94.63
Group A,96.58
Group A,107.28
Group A,110.06
Group A,95.08
Group A,115.19
Group A,52.49
Group A,89.29
Group A,83.31
Group A,81.19
Group A,114.4
Group A,112.44
Group A,88.36
Group A,117.67
Group A,101.52
Group A,93.67
Group A,89.61
Group A,88.33
